INTERNATIONAL SCHEDULED AIR TRANSPORT - Airline supplied data,,,,,,,,,,,,,,,,,,,,,,
"Country is determined by where ""same flight number"" services Originate or Terminate",,,,,,,,,,,,,,,,,,,,,,
"The true seat utilisation factors for airlines other than Australian Airlines, Qantas Airways, Emirates (for November 2011 onwards), China Airlines (for January 2014 onwards), Philippine Airlines (for December 2015 onwards), AirAsia X (for March 2016 onwards) and Singapore Airlines (for September 2016 onwards), that operate via Australia will most likely be higher than what is calculated using this data. See ""ReadMe"" tab for more information.",,,,,,,,,,,,,,,,,,,,,,
More detailed information on flights and seats by route and city pairs can be found at:,,,,,http://www.bitre.gov.au/publications/ongoing/international_airlines-operated_flights_seats.aspx,,,,,,,,,,,,,,,,,
MONTH,AIRLINE,COUNTRY,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,FIN_Y,CAL_Y,,,,,,,,,,,,
Jan-91,Aerolineas Argentinas,Argentina,10,"2,378","3,000",10,"1,587","3,000",1991,1991,,,,,,,,,,,,
Jan-91,Air Caledonie,New Caledonia,22,"2,645","2,860",21,"1,761","2,730",1991,1991,,,,,,,,,,,,
Jan-91,Air China,China,4,"1,028","1,060",4,741,"1,060",1991,1991,,,,,,,,,,,,
Jan-91,Air India,India,9,"1,440","3,393",9,"2,150","3,393",1991,1991,,,,,,,,,,,,
Jan-91,Nauru Airlines,Nauru,5,334,493,6,360,592,1991,1991,,,,,,,,,,,,
Jan-91,Air New Zealand,New Zealand,242,"41,759","57,801",243,"34,873","57,464",1991,1991,,,,,,,,,,,,
Jan-91,Air Niugini,Papua New Guinea,47,"3,541","4,937",47,"3,510","4,937",1991,1991,,,,,,,,,,,,
Jan-91,Fiji Airways,Fiji,48,"10,010","12,388",47,"6,532","12,036",1991,1991,,,,,,,,,,,,
Jan-91,Air Vanuatu,Vanuatu,17,"1,824","2,465",17,"1,422","2,465",1991,1991,,,,,,,,,,,,
Jan-91,Alitalia,Italy,12,"3,236","3,897",12,"2,708","3,897",1991,1991,,,,,,,,,,,,
Jan-91,All Nippon Airways,Japan,21,"5,475","7,810",21,"5,480","7,798",1991,1991,,,,,,,,,,,,
Jan-91,American Airlines,USA,17,"2,883","3,859",17,"1,947","3,859",1991,1991,,,,,,,,,,,,
Jan-91,British Airways,New Zealand,13,"1,318","3,088",14,"1,818","3,474",1991,1991,,,,,,,,,,,,
Jan-91,British Airways,UK,57,"14,419","22,002",58,"11,363","22,388",1991,1991,,,,,,,,,,,,
Jan-91,Canadian Airlines International,Canada,13,"2,731","3,315",13,"2,177","3,315",1991,1991,,,,,,,,,,,,
