Month,AustralianPort,ForeignPort,Country,PaxIn,FreightIn,MailIn,PaxOut,FreightOut,MailOut,TotalPax,TotalFreight,TotalMail,Year,"<< This year is based on the month selected in cell E2 in sheet ""Totals"" - it is only a calendar year if the month in sheet ""Totals"" is set to December",,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Adelaide,Auckland,New Zealand,"3,325",15.7,0.0,"2,704",29.4,0.0,"6,029",45.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Adelaide,Denpasar,Indonesia,"1,124",0.0,0.0,"1,111",0.0,0.0,"2,235",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Adelaide,Hong Kong,Hong Kong (SAR),"3,939",75.8,0.0,"2,678",181.0,0.0,"6,617",256.8,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Adelaide,Kuala Lumpur,Malaysia,"4,079",68.7,0.0,"3,074",100.8,0.0,"7,153",169.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Adelaide,Singapore,Singapore,"12,678",260.1,0.0,"10,401",285.9,5.9,"23,079",546.0,5.9,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Abu Dhabi,United Arab Emirates,"4,132",32.4,0.0,"3,180",37.1,0.0,"7,312",69.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Apia,Western Samoa,547,0.0,0.0,324,0.0,0.0,871,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Auckland,New Zealand,"38,492",974.1,45.8,"35,305",323.7,11.2,"73,797","1,297.8",57.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Bandar Seri Begawan,Brunei,"4,613",37.8,0.0,"3,267",84.5,0.0,"7,880",122.4,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Bangkok,Thailand,"5,169",137.2,0.1,"4,372",274.4,0.0,"9,541",411.6,0.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Chicago,USA,..,5.2,0.0,..,..,..,..,5.2,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Christchurch,New Zealand,"15,686",27.9,0.0,"14,330",15.8,0.0,"30,016",43.7,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Denpasar,Indonesia,"4,341",0.0,0.0,"3,747",0.0,0.0,"8,088",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Dubai,United Arab Emirates,"6,587",97.6,0.0,"6,545",135.8,0.0,"13,132",233.3,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Dunedin,New Zealand,"1,236",0.0,0.0,"1,026",0.0,0.0,"2,262",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Espiritu Santo,Vanuatu,101,1.0,0.0,182,6.5,0.0,283,7.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Hamilton,New Zealand,"1,148",0.2,0.0,"1,023",0.0,0.0,"2,171",0.2,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Hong Kong,Hong Kong (SAR),"14,007",291.8,32.3,"11,453",294.2,11.4,"25,460",586.0,43.7,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Honiara,Solomon Islands,"1,815",5.5,0.0,"1,644",48.9,0.0,"3,459",54.4,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Honolulu,USA,..,0.0,0.0,..,..,..,..,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Kuala Lumpur,Malaysia,"2,334",81.2,0.0,"2,934",102.4,0.0,"5,268",183.6,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Brisbane,Los Angeles,USA,"9,476",67.5,5.2,"7,292",52.1,35.1,"16,768",119.6,40.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
